TARGET_FID_12_13,Join_Count,TARGET_FID_1,Full_sesti,Codice_1
69,2,51335,CN986A,LEON
70,1,51346,CN986D,LEON
71,1,51343,CN987,LEON
71,1,51349,CN988,LEON
74,1,80864,CN995B,LEON
74,1,51363,CN995,LEON
74,1,51366,CN995A,LEON
75,1,51369,CN996,LEON
76,1,51372,CN997,LEON
77,1,75135,CN999,LEON
77,1,51375,CN998,LEON
77,1,51377,CN998A,LEON
80,1,51409,CN1005,LEON
81,1,51415,CN1006,LEON
81,1,53824,CN1008,LEON
81,1,51412,CN1005A,LEON
81,1,53821,CN1007,LEON
83,1,51426,CN1014,LEON
83,1,73799,CN1016,LEON
83,1,51423,CN1012,LEON
83,1,51428,CN1015,LEON
84,1,51435,CN1018,LEON
84,1,51437,CN1018A,LEON
84,1,51432,CN1017,LEON
85,1,51440,CN1019,LEON
85,1,51446,CN1027,LEON
85,1,51443,CN1020,LEON
89,1,51508,CN1045C,LEON
89,1,51512,CN1045,LEON
90,1,51518,CN1045B,LEON
92,1,51530,CN1046,LEON
94,1,51548,CN1053,LEON
96,1,51499,CN1044A,LEON
96,1,51502,CN1044B,LEON
96,1,51505,CN1044,LEON
97,1,51497,CN1043,LEON
97,1,51494,CN1042,LEON
99,1,51479,CN1038,LEON
100,1,51553,CN1059,LEON
100,1,77088,CN1058,LEON
100,1,51482,CN1039,LEON
100,1,51556,CN1060,LEON
100,1,51484,CN1039A,LEON
101,1,51550,CN1057,LEON
102,1,49472,CN2954,CHIO
108,2,78405,CN2909,GHET
108,2,53381,CN2908,GHET
109,2,53380,CN2907,GHET
109,2,53379,CN2906,GHET
110,1,53377,CN2904A,GHET
110,1,53378,CN2905,GHET
110,1,53376,CN2904,GHET
111,1,53373,CN2902A,GHET
111,1,53372,CN2902,GHET
114,1,53368,CN2895,GHET
114,1,53370,CN2897,GHET
114,1,53369,CN2896,GHET
114,1,53367,CN2894,GHET
115,1,53366,CN2893,GHET
115,1,53365,CN2892,GHET
116,1,73125,CN2887,GHET
116,1,80128,CN2891,GHET
116,1,53364,CN2890,GHET
116,1,53363,CN2888,GHET
116,1,73126,CN2889,GHET
117,1,53360,CN2884A,GHET
117,1,53359,CN2884,GHET
117,1,53361,CN2885,GHET
117,1,53362,CN2886,GHET
117,1,53358,CN2883,GHET
119,1,53392,CN2874,GHET
120,1,53252,CN1190,LEON
120,1,53254,CN1192,LEON
120,1,53253,CN1191,LEON
120,1,53256,CN1193,LEON
120,1,53255,CN1192A,LEON
122,1,77110,CN1195,LEON
122,1,53258,CN1195A,LEON
127,1,53264,CN1198B,LEON
127,1,53263,CN1198C,LEON
132,1,51563,CN1063,LEON
132,1,77092,CN1061,LEON
132,1,51560,CN1062,LEON
133,1,51690,CN1083,LEON
133,1,51669,CN1084,LEON
133,1,51687,CN1082,LEON
134,1,51663,CN1086,LEON
134,1,51666,CN1085,LEON
134,1,74977,CN1088,LEON
134,1,74930,CN1087,LEON
135,2,51649,CN1076E,LEON
135,2,51643,CN1076F,LEON
136,1,51578,CN1067B,LEON
136,1,51581,CN1068,LEON
137,1,51603,CN1074D,LEON
137,1,51594,CN1074A,LEON
137,1,51606,CN1074E,LEON
137,1,51597,CN1074B,LEON
137,1,51600,CN1074C,LEON
139,1,53239,CN1096,LEON
139,1,53238,CN1097,LEON
140,1,53236,CN1099,LEON
140,1,53237,CN1098,LEON
141,3,53242,CN1104A,LEON
143,2,53398,CN1181A,LEON
143,2,53399,CN1181,LEON
145,1,53394,CN1188,LEON
145,1,73814,CN1186,LEON
